batch_id,to_email,open_date
55267,qovota@gideq.org,"2018-08-22 15:06:27, 2018-08-22 15:06:27"
55267,hivaka@fuvep.com,"2018-08-25 02:21:54, 2018-08-25 02:21:54"
55267,totopi@sutuz.com,
55267,tahuju@wiles.net,
55267,wasove@tafod.net,
55267,cewusu@guwug.org,
55267,xiqexe@hukuy.org,
55267,nicuxe@cuzud.com,"2018-08-24 01:24:47, 2018-08-24 01:24:47"
55267,zovofo@nugox.com,"2018-08-20 20:30:38, 2018-08-20 20:30:38"
55267,huluxi@nuqob.org,
55267,sepoge@fuvim.org,
55267,guvaze@zayor.net,"2018-08-23 06:53:37, 2018-08-23 06:53:37"
55267,qegape@tisuj.com,
55267,tivemu@gequp.net,"2018-08-21 06:33:23, 2018-08-21 06:33:23"
55267,diweha@yafak.net,
55267,tevufa@vajuv.org,"2018-08-24 11:42:48, 2018-08-24 11:42:48"
55267,gejodo@haheb.org,"2018-08-25 14:19:33, 2018-08-25 14:19:33"
55267,sevihu@ruhic.com,
55267,gekoxo@fidoz.org,"2018-08-22 12:26:32, 2018-08-22 12:26:32"
55267,kavivo@ciluz.com,
55267,hicaxe@mexuq.org,"2018-08-21 08:43:23, 2018-08-21 08:43:23"
55267,hicaxe@mexuq.org,"2018-08-21 08:43:23, 2018-08-21 08:43:23"
55267,hicaxe@mexuq.org,"2018-08-21 08:43:23, 2018-08-21 08:43:23"
55267,hicaxe@mexuq.org,"2018-08-21 08:43:23, 2018-08-21 08:43:23"
55267,vetupo@yazid.net,
55267,gohixu@cicoy.net,"2018-08-21 11:51:21, 2018-08-21 11:51:21"
55267,gohixu@cicoy.net,"2018-08-21 11:51:21, 2018-08-21 11:51:21"
55267,gohixu@cicoy.net,"2018-08-21 11:51:21, 2018-08-21 11:51:21"
55267,gohixu@cicoy.net,"2018-08-21 11:51:21, 2018-08-21 11:51:21"
55267,piwube@qecit.net,
55267,kalipa@bayen.com,
55267,kalipa@bayen.com,
55267,kalipa@bayen.com,
55267,kalipa@bayen.com,
55267,zunala@maqan.org,"2018-08-24 06:22:35, 2018-08-24 06:22:35"
55267,jadefo@cejol.net,
55267,lofovo@pehem.org,
55267,rinunu@tuqox.com,
55267,xijufi@tobag.com,"2018-08-23 19:31:23, 2018-08-23 19:31:23"
55267,xijufi@tobag.com,"2018-08-23 19:31:23, 2018-08-23 19:31:23"
55267,xijufi@tobag.com,"2018-08-23 19:31:23, 2018-08-23 19:31:23"
55267,xijufi@tobag.com,"2018-08-23 19:31:23, 2018-08-23 19:31:23"
55267,jijeyi@suqol.net,
55267,finebo@bogoz.com,
55267,gibodo@vutow.com,
55267,mowufo@yalev.net,
55267,pegupu@kidad.org,
55267,kozovo@zuvag.net,"2018-08-23 06:30:13, 2018-08-23 06:30:13"
55267,savayo@napig.com,"2018-08-25 11:07:59, 2018-08-25 11:07:59"
55267,savayo@napig.com,"2018-08-25 11:07:59, 2018-08-25 11:07:59"
55267,savayo@napig.com,"2018-08-25 11:07:59, 2018-08-25 11:07:59"
55267,sugezo@gopum.org,"2018-08-25 14:03:22, 2018-08-25 14:03:22"
55267,diyija@hotec.org,
55267,bozeda@malug.org,
