batch_id,to_email,sent_date,bounce_date,open_date,click_date,unsub_date
55267,qovota@gideq.org,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,2018-08-22 11:23:08
55267,hivaka@fuvep.com,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,totopi@sutuz.com,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,2018-08-21 17:27:00
55267,tahuju@wiles.net,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,wasove@tafod.net,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,cewusu@guwug.org,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,xiqexe@hukuy.org,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,nicuxe@cuzud.com,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,zovofo@nugox.com,2018-08-20 16:49:09,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,huluxi@nuqob.org,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,sepoge@fuvim.org,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,guvaze@zayor.net,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,qegape@tisuj.com,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,tivemu@gequp.net,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,diweha@yafak.net,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,tevufa@vajuv.org,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,gejodo@haheb.org,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,sevihu@ruhic.com,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,gekoxo@fidoz.org,2018-08-20 16:49:10,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,kavivo@ciluz.com,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,2018-08-21 22:14:38
55267,hicaxe@mexuq.org,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,hicaxe@mexuq.org,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,hicaxe@mexuq.org,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,hicaxe@mexuq.org,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,vetupo@yazid.net,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,gohixu@cicoy.net,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,gohixu@cicoy.net,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,gohixu@cicoy.net,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,gohixu@cicoy.net,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,piwube@qecit.net,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,kalipa@bayen.com,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,kalipa@bayen.com,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,kalipa@bayen.com,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,kalipa@bayen.com,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,zunala@maqan.org,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,jadefo@cejol.net,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,lofovo@pehem.org,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,rinunu@tuqox.com,2018-08-20 16:49:11,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,xijufi@tobag.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,xijufi@tobag.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,xijufi@tobag.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,xijufi@tobag.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,jijeyi@suqol.net,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,finebo@bogoz.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,2018-08-21 01:21:25
55267,gibodo@vutow.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,mowufo@yalev.net,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,2018-08-21 02:50:15
55267,pegupu@kidad.org,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,kozovo@zuvag.net,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,savayo@napig.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,savayo@napig.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,savayo@napig.com,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,sugezo@gopum.org,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,diyija@hotec.org,2018-08-20 16:49:12,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,bozeda@malug.org,2018-08-20 16:49:13,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,yunuwe@hipuh.net,2018-08-20 16:49:13,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,xigose@xojab.org,2018-08-20 16:49:13,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,rehucu@beteq.com,2018-08-20 16:49:13,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,
55267,fuyeze@kowoj.com,2018-08-20 16:49:13,,"2018-08-22 15:06:27, 2018-08-22 15:06:27",,2018-08-21 09:31:19
