batch_id,to_email,click_date
55267,qovota@gideq.org,
55267,hivaka@fuvep.com,
55267,totopi@sutuz.com,
55267,tahuju@wiles.net,
55267,wasove@tafod.net,
55267,cewusu@guwug.org,
55267,xiqexe@hukuy.org,
55267,nicuxe@cuzud.com,
55267,zovofo@nugox.com,
55267,huluxi@nuqob.org,
55267,sepoge@fuvim.org,
55267,guvaze@zayor.net,
55267,qegape@tisuj.com,
55267,tivemu@gequp.net,
55267,diweha@yafak.net,
55267,tevufa@vajuv.org,
55267,gejodo@haheb.org,
55267,sevihu@ruhic.com,
55267,gekoxo@fidoz.org,
55267,kavivo@ciluz.com,
55267,hicaxe@mexuq.org,"2018-08-21 08:47:23, 2018-08-21 08:50:39, 2018-08-21 08:47:23, 2018-08-21 08:50:40, 2018-08-21 08:48:54"
55267,hicaxe@mexuq.org,"2018-08-21 08:48:54, 2018-08-21 08:50:39, 2018-08-21 08:47:23, 2018-08-21 08:50:40, 2018-08-21 08:48:54"
55267,hicaxe@mexuq.org,"2018-08-21 08:50:39, 2018-08-21 08:50:39, 2018-08-21 08:47:23, 2018-08-21 08:50:40, 2018-08-21 08:48:54"
55267,hicaxe@mexuq.org,"2018-08-21 08:50:40, 2018-08-21 08:50:39, 2018-08-21 08:47:23, 2018-08-21 08:50:40, 2018-08-21 08:48:54"
55267,vetupo@yazid.net,
55267,gohixu@cicoy.net,"2018-08-21 11:54:51, 2018-08-21 11:57:20, 2018-08-21 11:57:54, 2018-08-21 11:54:51, 2018-08-21 12:00:39"
55267,gohixu@cicoy.net,"2018-08-21 11:57:20, 2018-08-21 11:57:20, 2018-08-21 11:57:54, 2018-08-21 11:54:51, 2018-08-21 12:00:39"
55267,gohixu@cicoy.net,"2018-08-21 11:57:54, 2018-08-21 11:57:20, 2018-08-21 11:57:54, 2018-08-21 11:54:51, 2018-08-21 12:00:39"
55267,gohixu@cicoy.net,"2018-08-21 12:00:39, 2018-08-21 11:57:20, 2018-08-21 11:57:54, 2018-08-21 11:54:51, 2018-08-21 12:00:39"
55267,piwube@qecit.net,
55267,kalipa@bayen.com,"2018-08-20 23:11:52, 2018-08-20 23:11:52, 2018-08-25 07:33:54, 2018-08-21 04:55:44, 2018-08-25 12:34:56"
55267,kalipa@bayen.com,"2018-08-21 04:55:44, 2018-08-20 23:11:52, 2018-08-25 07:33:54, 2018-08-21 04:55:44, 2018-08-25 12:34:56"
55267,kalipa@bayen.com,"2018-08-25 07:33:54, 2018-08-20 23:11:52, 2018-08-25 07:33:54, 2018-08-21 04:55:44, 2018-08-25 12:34:56"
55267,kalipa@bayen.com,"2018-08-25 12:34:56, 2018-08-20 23:11:52, 2018-08-25 07:33:54, 2018-08-21 04:55:44, 2018-08-25 12:34:56"
55267,zunala@maqan.org,
55267,jadefo@cejol.net,
55267,lofovo@pehem.org,
55267,rinunu@tuqox.com,
55267,xijufi@tobag.com,"2018-08-23 19:35:28, 2018-08-23 19:39:09, 2018-08-23 19:35:28, 2018-08-23 19:35:33, 2018-08-23 19:38:14"
55267,xijufi@tobag.com,"2018-08-23 19:35:33, 2018-08-23 19:39:09, 2018-08-23 19:35:28, 2018-08-23 19:35:33, 2018-08-23 19:38:14"
55267,xijufi@tobag.com,"2018-08-23 19:38:14, 2018-08-23 19:39:09, 2018-08-23 19:35:28, 2018-08-23 19:35:33, 2018-08-23 19:38:14"
55267,xijufi@tobag.com,"2018-08-23 19:39:09, 2018-08-23 19:39:09, 2018-08-23 19:35:28, 2018-08-23 19:35:33, 2018-08-23 19:38:14"
55267,jijeyi@suqol.net,
55267,finebo@bogoz.com,
55267,gibodo@vutow.com,
55267,mowufo@yalev.net,
55267,pegupu@kidad.org,
55267,kozovo@zuvag.net,
55267,savayo@napig.com,"2018-08-25 11:10:10, 2018-08-25 11:10:10, 2018-08-25 11:15:14, 2018-08-25 11:11:01"
55267,savayo@napig.com,"2018-08-25 11:11:01, 2018-08-25 11:10:10, 2018-08-25 11:15:14, 2018-08-25 11:11:01"
55267,savayo@napig.com,"2018-08-25 11:15:14, 2018-08-25 11:10:10, 2018-08-25 11:15:14, 2018-08-25 11:11:01"
55267,sugezo@gopum.org,
55267,diyija@hotec.org,
55267,bozeda@malug.org,
55267,yunuwe@hipuh.net,
55267,xigose@xojab.org,
55267,rehucu@beteq.com,
55267,fuyeze@kowoj.com,
55267,muxemi@votuq.org,
55267,jeyaxi@puqay.com,
55267,yijuca@xafek.org,
55267,gaditu@wokob.org,
55267,gogexi@povut.org,
55267,zucunu@hujix.com,
55267,yaqaha@dimib.com,
55267,wavaki@fepij.net,
55267,zurame@tojoq.org,
55267,docefe@vizug.org,"2018-08-22 15:40:54, 2018-08-22 23:14:00, 2018-08-25 12:39:21, 2018-08-22 15:40:54"
55267,docefe@vizug.org,"2018-08-22 23:14:00, 2018-08-22 23:14:00, 2018-08-25 12:39:21, 2018-08-22 15:40:54"
55267,docefe@vizug.org,"2018-08-25 12:39:21, 2018-08-22 23:14:00, 2018-08-25 12:39:21, 2018-08-22 15:40:54"
55267,nuxiqo@ketey.com,
55267,joxetu@lofov.net,
55267,pazeqe@boqod.org,
55267,memenu@fujeg.org,
55267,videpa@nupoh.com,
55267,zoqixo@boqes.com,"2018-08-25 12:34:31, 2018-08-25 12:34:31"
55267,fadazo@pebul.org,
55267,mizoce@bikig.net,
55267,hinaka@qajiq.com,
55267,zikuzu@fusif.com,"2018-08-24 23:17:17, 2018-08-24 23:18:11, 2018-08-24 23:19:41, 2018-08-24 23:17:17, 2018-08-29 20:46:07, 2018-08-30 22:20:11"
55267,zikuzu@fusif.com,"2018-08-24 23:18:11, 2018-08-24 23:18:11, 2018-08-24 23:19:41, 2018-08-24 23:17:17, 2018-08-29 20:46:07, 2018-08-30 22:20:11"
55267,zikuzu@fusif.com,"2018-08-24 23:19:41, 2018-08-24 23:18:11, 2018-08-24 23:19:41, 2018-08-24 23:17:17, 2018-08-29 20:46:07, 2018-08-30 22:20:11"
55267,jofeci@vobem.net,
55267,xupise@vefom.com,
55267,jobaci@qacad.com,
55267,kawigo@sacag.net,
55267,cijufo@zoxam.net,
55267,qeponu@jazic.com,
55267,pihunu@gociw.org,
55267,rugavo@noxag.com,
55267,gepado@zulow.org,
55267,buxopi@zedev.net,"2018-08-23 08:50:43, 2018-08-23 08:51:45, 2018-08-23 08:50:43, 2018-08-23 08:52:57"
55267,buxopi@zedev.net,"2018-08-23 08:51:45, 2018-08-23 08:51:45, 2018-08-23 08:50:43, 2018-08-23 08:52:57"
55267,buxopi@zedev.net,"2018-08-23 08:52:57, 2018-08-23 08:51:45, 2018-08-23 08:50:43, 2018-08-23 08:52:57"
55267,dicoha@fivaz.net,
55267,duveqi@larab.com,
55267,sopetu@biweh.net,"2018-08-22 23:21:34, 2018-08-22 23:21:36, 2018-08-22 23:21:34, 2018-08-22 23:22:13"
55267,sopetu@biweh.net,"2018-08-22 23:21:36, 2018-08-22 23:21:36, 2018-08-22 23:21:34, 2018-08-22 23:22:13"
55267,sopetu@biweh.net,"2018-08-22 23:22:13, 2018-08-22 23:21:36, 2018-08-22 23:21:34, 2018-08-22 23:22:13"
55267,hukija@vonow.net,
55267,gocibo@fezir.net,
55267,gebave@huxos.org,
55267,juqule@jonuj.org,
55267,juxexu@gixuj.net,
55267,jovodo@wimud.net,
55267,turaru@bafer.org,
55267,peputa@sikew.net,
55267,vivuxo@hohul.org,
55267,veguri@rehez.org,
55267,yupaqe@merid.com,
55267,qewise@gohax.net,
55267,tokewe@gowij.com,"2018-08-23 18:19:23, 2018-08-25 03:43:24, 2018-08-23 18:19:23"
55267,tokewe@gowij.com,"2018-08-25 03:43:24, 2018-08-25 03:43:24, 2018-08-23 18:19:23"
55267,hohete@fizaj.org,
55267,sumuye@vajer.org,
55267,povani@mafax.org,
55267,basoqa@gocoj.net,
55267,saguju@mizen.com,
55267,himota@jaxan.org,
55267,hucufa@fukiv.net,
55267,lavogo@fusej.org,
55267,huciqi@cazox.net,"2018-08-23 07:13:34, 2018-08-23 17:42:28, 2018-08-23 07:13:34"
55267,huciqi@cazox.net,"2018-08-23 17:42:28, 2018-08-23 17:42:28, 2018-08-23 07:13:34"
55267,humazu@rizuw.net,
55267,cidera@zafam.org,
55267,canaca@tukaz.org,
55267,helowa@cifes.org,
55267,jalujo@wazib.org,
55267,rijuzo@wirit.org,
55267,cukama@pacob.net,
55267,kegedu@genuk.org,
55267,vuwoba@ciniw.org,
55267,cipowa@fepac.org,"2018-08-23 14:10:12, 2018-08-23 14:10:12, 2018-08-30 13:01:46, 2018-08-31 09:14:37, 2018-08-31 01:48:55, 2018-08-30 14:43:49"
55267,hegoto@gowib.net,
55267,dopire@posev.com,
55267,ridave@buyab.org,
55267,dacico@saxev.net,"2018-08-23 16:16:17, 2018-08-23 16:19:35, 2018-08-23 16:16:17, 2018-08-23 16:21:57"
55267,dacico@saxev.net,"2018-08-23 16:19:35, 2018-08-23 16:19:35, 2018-08-23 16:16:17, 2018-08-23 16:21:57"
55267,dacico@saxev.net,"2018-08-23 16:21:57, 2018-08-23 16:19:35, 2018-08-23 16:16:17, 2018-08-23 16:21:57"
55267,pepenu@quwiq.org,
55267,caqoqi@hotuh.org,
55267,yoliko@sokav.net,
55267,zinazu@retum.com,
55267,zotala@zeduk.com,"2018-08-22 22:44:29, 2018-08-22 22:48:49, 2018-08-22 22:49:05, 2018-08-22 22:44:29, 2018-08-22 22:51:48"
55267,zotala@zeduk.com,"2018-08-22 22:48:49, 2018-08-22 22:48:49, 2018-08-22 22:49:05, 2018-08-22 22:44:29, 2018-08-22 22:51:48"
55267,zotala@zeduk.com,"2018-08-22 22:49:05, 2018-08-22 22:48:49, 2018-08-22 22:49:05, 2018-08-22 22:44:29, 2018-08-22 22:51:48"
55267,zotala@zeduk.com,"2018-08-22 22:51:48, 2018-08-22 22:48:49, 2018-08-22 22:49:05, 2018-08-22 22:44:29, 2018-08-22 22:51:48"
55267,miwicu@cuvip.net,
55267,timifu@tidiw.com,
55267,wofori@lowec.net,
55267,wamilo@fudev.com,"2018-08-24 01:55:59, 2018-08-24 02:02:00, 2018-08-24 01:59:40, 2018-08-24 01:55:59"
55267,wamilo@fudev.com,"2018-08-24 01:59:40, 2018-08-24 02:02:00, 2018-08-24 01:59:40, 2018-08-24 01:55:59"
55267,wamilo@fudev.com,"2018-08-24 02:02:00, 2018-08-24 02:02:00, 2018-08-24 01:59:40, 2018-08-24 01:55:59"
55267,gikuvu@heqix.net,
55267,rasite@mubah.org,
55267,tedaro@cofuf.net,
55267,xivoye@jelac.org,
55267,potane@devat.com,
55267,riqoko@cuvir.net,"2018-08-25 06:49:46, 2018-08-25 06:55:57, 2018-08-25 06:53:56, 2018-08-25 06:49:46, 2018-08-25 06:55:07"
55267,riqoko@cuvir.net,"2018-08-25 06:53:56, 2018-08-25 06:55:57, 2018-08-25 06:53:56, 2018-08-25 06:49:46, 2018-08-25 06:55:07"
55267,riqoko@cuvir.net,"2018-08-25 06:55:07, 2018-08-25 06:55:57, 2018-08-25 06:53:56, 2018-08-25 06:49:46, 2018-08-25 06:55:07"
55267,riqoko@cuvir.net,"2018-08-25 06:55:57, 2018-08-25 06:55:57, 2018-08-25 06:53:56, 2018-08-25 06:49:46, 2018-08-25 06:55:07"
55267,vijeni@ralon.net,
55267,lutahu@woruq.org,"2018-08-24 20:11:40, 2018-08-24 20:20:31, 2018-08-24 20:12:19, 2018-08-24 20:12:00, 2018-08-24 20:11:40"
55267,lutahu@woruq.org,"2018-08-24 20:12:00, 2018-08-24 20:20:31, 2018-08-24 20:12:19, 2018-08-24 20:12:00, 2018-08-24 20:11:40"
55267,lutahu@woruq.org,"2018-08-24 20:12:19, 2018-08-24 20:20:31, 2018-08-24 20:12:19, 2018-08-24 20:12:00, 2018-08-24 20:11:40"
55267,lutahu@woruq.org,"2018-08-24 20:20:31, 2018-08-24 20:20:31, 2018-08-24 20:12:19, 2018-08-24 20:12:00, 2018-08-24 20:11:40"
55267,xiruzu@pigoc.net,
55267,fixumo@wevam.net,"2018-08-25 06:57:48, 2018-08-25 07:01:08, 2018-08-25 06:57:48"
55267,fixumo@wevam.net,"2018-08-25 07:01:08, 2018-08-25 07:01:08, 2018-08-25 06:57:48"
55267,bopojo@yonon.com,
55267,kemiga@pikiz.org,
55267,numudu@cizag.net,
55267,jajape@ziwub.com,
55267,kadali@dilix.org,
55267,yoxiwa@kesas.com,"2018-08-20 18:53:00, 2018-08-22 02:12:09, 2018-08-20 18:53:00, 2018-08-24 10:09:59"
55267,yoxiwa@kesas.com,"2018-08-22 02:12:09, 2018-08-22 02:12:09, 2018-08-20 18:53:00, 2018-08-24 10:09:59"
55267,yoxiwa@kesas.com,"2018-08-24 10:09:59, 2018-08-22 02:12:09, 2018-08-20 18:53:00, 2018-08-24 10:09:59"
55267,kifaju@kefaj.com,
55267,bewaqa@jeseg.org,
55267,xeyota@hudod.net,
55267,suyuwi@vojab.org,"2018-08-21 09:41:54, 2018-08-21 09:41:54"
55267,wexupu@qafaq.com,
55267,fajoqa@hicuq.com,
55267,bifofi@jajis.com,
55267,rexaqu@zimey.net,
